Plasma cells,Myeloid,Fibroblast,B cells,NK cells,Epithelial cells_6,Epithelial cell_10,Epithelial cell_9,Endothelial cell,Mast cell,T cells
DERL3,CD14,ACTA2,CD19,NCR1,EPCAM,ANPEP,CLDN18,PECAM1,CMA1,CD3E
DNAJB9,CD163,C1S,CR2,NCAM1,TFF3,PRAP1,PGC,FLT1,CPA3,CCL5
FCRL5,AIF1,COL1A1,IGHD,KRT86,C10orf99,RBP2,PSCA,HSPG2,FCER1A,CD3D
LINC02362,C1QA,COL1A2,MS4A1,SH2D1B,CKB,FABP2,CTSE,RAMP3,HDC,CD2
MZB1,C1QB,COL3A1,PAX5,TXK,CEACAM5,SMIM24,CXCL17,RAMP2,HPGDS,CD8A
IGLC1,C1QC,COL6A1,BANK1,KIR2DL1,OLFM4,CCL25,ANXA10,PLVAP,KIT,CD3G
TNFRSF17,CSF1R,COL6A2,VPREB3,KIR2DL3,LGR5,CLDN15,TFF2,SLCO2A1,IL1RL1,CD96
TXNDC5,IGSF6,CXCL14,,KIR3DL2,AXIN2,ALD08,VSIG1,SOX18,LTC4S,GZMA
SDC1,MERTK,CYGB,,KIR3DL1,PLA2G2A,REEP6,TFF1,VWF,MS4A2,GZMB
EAF2,MS4A6A,DCN,,CD160,PRAC1,KHK,MUC5AC,,RHEX,GZMM
,MS4A7,MFAP4,,KIR2DL4,MUC4,SI,CA9,,SIGLEC6,IL2RB
,,MMP2,,,SNORC,FOLH1,SULT1C2,,SLC18A2,KLRB1
,,TCF21,,,LEFY1,SLC5A1,TRNP1,,TPSAB1,KLRK1
,,TPM2,,,CA12,EPCAM,MUCL3,,TPSB2,PRF1
,,,,,NXPE4,,GKN2,,VWA5A,SH2D2A
,,,,,,,EPCAM,,,ZAP70
